,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,0.03613367161190404,3.6360077123170926,-3.5952820843338062,1.4174815564042684,7.231289796650898,3.7744832294785304,44.41473321956764,3.0,45.33021454144758,0.01040909135831948,6.322592774555041,-5.952285068995613,2.392491432009536,12.274877843550653,10.873952396302466,169.94700864927626,20.0,111.18813498932911,0.08842582839811715,8.465112495322904,-8.726898082520183,3.7873018527740583,17.192010577843085,27.85374721936406,455.29842738608056,40.0,289.2495435008307
1,5,-0.0007891377241927824,3.4877921501754248,-3.2847742638370248,1.3733786201401232,6.7725664140124495,3.5724907688461283,37.783881221439906,5.0,39.966976112348156,0.03620136954937834,6.30753810248369,-5.435469060644455,2.455921627024818,11.743007163128144,11.355045625322289,394.13179540856873,15.0,108.29420855860717,-0.11957489797038369,8.10308586686466,-8.685923748688742,3.43653867658887,16.789009615553404,22.77233990061256,393.6768252889086,35.0,237.46597132973258
2,10,-0.016053798390805174,3.386602756948196,-3.592155512188349,1.469138858368815,6.978758269136545,4.04434114129775,36.760131209736215,6.0,42.913339742627564,-0.013709267901008605,6.253470442932828,-5.6077604244657175,2.541734073831589,11.861230867398547,11.790497161223648,158.06864027286332,21.0,116.86327709032618,0.03557833333608624,8.82870412883588,-8.254024816475448,3.583087514668948,17.08272894531133,24.77642968531974,189.13798175338064,34.0,259.0235277058076
3,15,-0.033151114658350446,3.561802388991712,-3.621707321673286,1.3634535574331843,7.183509710664998,3.620495162879705,39.35297097565539,4.0,34.89278005968408,0.002685998693315523,5.020038418305384,-4.836115511525415,1.7589327922404971,9.8561539298308,5.863557033251011,76.83909825259875,9.0,60.02997852489155,-0.0138332539134448,8.470183023805685,-7.961659196102331,2.7885464592992752,16.431842219908017,15.28600036226586,96.4469877866588,31.0,176.5795062784665
4,20,-0.0033162319224387207,3.632736610884691,-3.5111270932936627,1.5752259583082164,7.1438637041783535,4.662590487092098,43.42310225871845,6.0,50.36387212399295,-0.00457854300068663,6.212811177673456,-6.323886692197953,2.9189563202529762,12.536697869871409,16.20307740544123,225.72439153765063,21.0,146.52867714026152,-0.005003788026656511,8.689021952085959,-8.706821278519698,3.6956248731818486,17.395843230605657,26.54941033735974,326.2962626470184,42.0,297.36231415960054
5,25,-0.0016269252189129518,3.391843222564964,-3.570464811292979,1.2993936141082874,6.962308033857942,3.217001272944776,37.753488917860906,4.0,36.18198781131558,0.031855086911900594,6.190399720291946,-6.069873418949252,2.839616933168724,12.260273139241198,15.399070581012927,284.1010548180161,22.0,137.7689479967459,-0.05218532619924793,7.74277073030321,-8.756437013501692,3.2753565115572623,16.499207743804902,20.824899998679225,373.8250146808378,32.0,219.80100532417805
6,30,0.009454694680077393,3.4012021047835206,-3.624600057354264,1.3658240818932363,7.025802162137785,3.6650798192577154,48.932610698488,3.0,41.249869683741146,0.007243341065171501,6.093367256702107,-6.176330523429993,2.8096537028105164,12.2696977801321,14.718283692316605,320.3276594268985,17.0,130.54815818310254,-0.0439408640707736,8.35080960591212,-8.69857039746734,3.1881267180016835,17.04938000337946,19.87690969722026,262.8364791556804,28.0,215.90212825351918
7,35,-0.013106520745912217,3.6225595656659295,-3.487793719953802,1.444276654898088,7.110353285619731,4.003125085285857,43.36505100377719,6.0,45.72194933434748,-0.0025245936396243837,6.203886273805724,-6.31540278513152,2.389049762499956,12.519289058937243,10.645170897085707,298.63950580833335,8.0,110.82413979099275,-0.05672627490097138,8.596834010564418,-8.481492053077323,3.291799213946664,17.07832606364174,20.77293328196052,307.9743149145257,28.0,222.12024601117173
8,40,-0.00883110995545629,3.617118897957142,-3.5884524091304515,1.4251807886585472,7.2055713070875935,3.8585823167482642,33.046872090487696,2.0,47.08125378399653,0.0340383541482703,5.899700565941613,-6.18518118843148,2.6567769918585173,12.084881754373093,13.24828253979808,290.2923826572918,21.0,123.45039056669957,-0.012932561392046538,8.805160672625671,-8.853208816977556,3.6200300858921546,17.658369489603228,25.00493806411271,382.5641776086032,39.0,267.3017721280276
9,45,0.006917024644948942,3.530987820643229,-3.615612122811222,1.4098328557054307,7.146599943454451,3.8354475036120377,52.36866099796385,6.0,41.58482601202019,0.028886270923326733,6.322914270709163,-6.182540945929306,2.4619736473139993,12.505455216638468,11.690662588577485,224.01916425386406,19.0,118.51861685407982,0.007347411489051524,8.699242526991853,-8.312780096174752,3.320564383008349,17.012022623166605,21.632468029300693,452.65443528131186,27.0,227.549996749631
10,50,0.014833366174720112,3.6387956522948537,-3.636019895152022,1.4141624835947966,7.274815547446876,3.9031686108595256,49.616344918880564,4.0,44.39998013218192,-0.0048404866719575605,6.204737430052952,-6.342220972854834,2.7548659466232213,12.546958402907787,14.626995736855507,293.24769596273154,23.0,137.690505050153,-0.030434998551711778,8.807932777691512,-8.734375194454232,3.4653984522468506,17.542307972145743,23.64630054031812,428.2920488370452,46.0,263.575366581492
11,55,0.00141141892120487,2.551897235276255,-2.672029927337418,0.9167468054084056,5.223927162613673,1.6474697043451338,20.000441370826504,1.0,16.544767616935893,0.008294190761442439,4.434759385394475,-4.636842864143382,1.8437790586154121,9.071602249537857,6.489775545382025,103.17341434640116,12.0,58.50392911628506,-0.012175437824102615,8.466032182904629,-8.870489023884252,2.771935829266732,17.33652120678888,15.221598109185635,188.8470429311659,22.0,149.53196016469053
12,60,-0.0053325679291308875,3.306663449126762,-2.7649512081249323,1.1242358098699525,6.071614657251694,2.5041484413422257,33.61383249568766,4.0,25.10194569059774,-0.0074389846711431715,5.208728702450828,-5.660717458894712,1.831310659277369,10.86944616134554,6.583679930631458,94.62300730516132,11.0,60.669410287596094,-0.0010936348667874578,6.988504792733357,-8.776282187621927,2.551516724140395,15.764786980355284,12.948660643756266,162.3815975599865,19.0,128.33909905220168
13,65,0.016214373884921536,2.570028820899797,-2.717198688137774,0.9708750532190104,5.287227509037571,1.8384844663544073,25.026804045470303,4.0,18.234494143415542,-0.0013419088972951663,5.799629075339702,-6.266966179053837,2.090515166455583,12.066595254393539,8.587719340402783,301.2423953965551,11.0,69.74928831831656,-0.003640140166043272,7.46766523548532,-6.487076533954967,2.4636197792275123,13.954741769440288,11.921136988686017,262.4684614680614,17.0,118.23239074288907
14,70,-0.010522587083522151,1.9404564208436184,-2.689727462861966,0.8475376525400989,4.630183883705584,1.3991932852876685,22.348578734215682,1.0,13.516298819770723,-0.0010794597928409021,3.882070960436808,-4.394340470542581,1.5761683658307808,8.276411430979389,4.7932736615508125,141.63302469239383,7.0,41.42470448152745,0.009429925593323802,7.600672828401948,-8.130197227505766,2.5455874097194298,15.730870055907715,12.725075860127918,201.6453708333887,18.0,115.20794251634699
15,75,0.0025623254340480764,3.3187031424540523,-3.083338445385836,1.0446172249585404,6.402041587839888,2.1564061028735537,36.875711018811295,2.0,21.331545682228,0.025996111154488456,5.009357378788734,-5.748933817949794,1.65414712871234,10.75829119673853,5.07189512334801,126.53074576236378,8.0,42.5368440333368,-0.02424772045552298,7.985444705846344,-7.940699408199468,2.766764421524952,15.926144114045812,15.160514904467437,465.34719798378893,21.0,140.45747667775316
16,80,0.01186051026890678,3.5656739748174298,-3.613089557454869,1.2813764407141761,7.178763532272299,3.1341573095527235,42.33486442119672,4.0,31.70669346142094,-0.01228293310103544,5.850655313059858,-6.203502102497023,2.1755261773350507,12.05415741555688,8.730796527742797,185.344194205163,12.0,74.18727148986946,0.018737412898645327,8.856284009219547,-7.562748323222877,3.053972416935491,16.419032332442423,18.294063391324404,458.43017820775333,30.0,171.83636678712008
17,85,0.010567033583320123,3.419070606145876,-3.433813887769224,1.2815794920158103,6.8528844939151,3.169336738668139,71.75539145731095,3.0,33.1626332391606,-0.0073439015975057965,4.878311177386927,-5.092012362382468,1.844320306332707,9.970323539769396,6.254460868771657,207.66772510501772,11.0,59.981109422069146,-0.031867943300411324,8.529470674965175,-8.777045322418036,3.031264671288287,17.30651599738321,17.968110683486973,408.7509314935489,24.0,171.90280826881877
