,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,0.01094944279158536,4.726389418539394,-4.768765637752741,1.8386338886152809,9.495155056292136,6.383839945830404,71.08305262065304,11.0,66.64598499608549,-0.07612837051931663,6.74561768043905,-7.07615656138614,2.532489182432982,13.82177424182519,12.244802633190865,206.10087247813013,23.0,122.62031640004723,0.017427456960265653,11.262721854056233,-11.291239466118776,4.424202600082785,22.55396132017501,38.24548662862706,544.4621794537287,45.0,373.29812305988656
1,5,0.02230215542502841,4.516056741276299,-4.55237191647365,1.4280668945570665,9.068428657749948,3.9495260053747865,52.805434653650174,7.0,41.42193549691534,-0.01759676500810156,6.834552329348674,-7.250464436403161,2.5365960080975904,14.085016765751835,11.90623571766887,142.61368601462092,19.0,111.23185130179859,-0.061082434576561866,10.384597100393943,-11.28947844599364,3.92938701898022,21.674075546387584,30.016178464740477,361.3602106183656,41.0,305.5234249002921
2,10,-0.005084240233812253,4.421566339215751,-4.771792134065724,1.5280330270809952,9.193358473281474,4.583419830861561,36.57359766989693,8.0,53.08282920843836,0.009677118836577644,7.545315847297772,-7.12718338293543,2.556903036792772,14.672499230233202,12.853755666953528,183.62278999061775,23.0,123.07417378628821,-0.012494190600386996,11.27568948735502,-10.48027415418266,4.013021562540861,21.75596364153768,31.641227618828722,246.3298436413289,47.0,350.5857082886036
3,15,0.0009212022463193952,3.909481993739565,-4.474430460220254,1.355817222141167,8.38391245395982,3.6138126659846117,27.756123032223293,5.0,42.392750745090225,0.01670306814109161,7.37284933985824,-7.321315797224556,2.8367886779117235,14.694165137082795,15.742648874143601,189.21427735796635,26.0,140.76723262997785,-0.027641133865459428,10.765648050805437,-8.621173998964046,3.42192383360309,19.386822049769485,22.390072041494196,183.68733511238892,36.0,230.08610788860753
4,20,-0.0006598808872395497,4.316819559347541,-3.687592679389754,1.1475499580165083,8.004412238737295,2.600012903597411,29.67918814215554,2.0,29.66975153250922,0.028359489196666924,6.029373616938466,-7.041675294875853,2.1643973848073945,13.07104891181432,9.115189552559237,127.80071472871886,14.0,81.40592839191737,-0.05338827975314634,9.396165883309536,-9.936870065314285,3.522340822242413,19.33303594862382,24.244166038919087,368.13831712518373,39.0,247.1867959884173
5,25,-0.003642056915902195,4.2949221819676495,-4.52470156986448,1.2007273271320202,8.819623751832129,2.8214419927571868,20.410144762980817,1.0,33.38582962229701,0.006115026236366411,5.82623339166132,-5.801538479498143,2.1399194757590854,11.627771871159464,8.73895429902716,121.4749526744126,11.0,75.90368784301782,-0.001688700376506155,10.799659974455915,-9.088940401141528,2.9662613267190077,19.88860037559744,17.029544298003977,140.81508285966953,32.0,178.65470551912318
6,30,-0.004878494504031453,4.269434886836281,-4.295936182206258,1.2881098963818838,8.56537106904254,3.2542976606051353,21.01859151981685,1.0,40.715256318098504,-0.03246669643845281,7.137666967442197,-6.807713609841585,2.2959946405706084,13.945380577283782,10.044131457012808,167.78727940874535,15.0,88.2956400307045,-0.12654503948136195,9.658921042576186,-10.51360138796306,3.482150520627442,20.172522430539246,22.665124669345943,262.03796335915985,34.0,245.00112323308988
7,35,0.008656930750412033,4.437860659113804,-4.717632285654464,1.5230784679393004,9.155492944768268,4.528156447572632,36.83054095221477,5.0,55.92409136523049,-0.12476164140345095,7.148592495986195,-7.477986929438024,2.8258113006861225,14.626579425424218,14.900487994191527,320.7676359306247,23.0,141.0056643913337,0.02366980403426509,11.309022415407808,-11.032403743586988,3.75977725621133,22.341426158994796,27.373960925138,288.94028908372576,45.0,318.4104070894653
8,40,-0.005824324425850507,4.696563232212895,-4.795354895819321,1.8210225270806435,9.491918128032216,6.529594477085845,51.83594367860277,14.0,72.73175700594257,0.022516114555612695,6.498397139267015,-6.954204769324079,2.491817831365088,13.452601908591094,11.768449548657554,103.71105784927688,22.0,127.48186896161211,0.026083807729229313,10.812671680949652,-10.672232060803251,3.1749352181863366,21.484903741752902,19.59525304365023,176.19125904959503,39.0,242.72871922241893
9,45,0.004007624934990942,4.609703683191482,-4.776303039204295,1.6604796975789853,9.386006722395777,5.416021073424478,77.29595060406463,9.0,57.14960272408992,-0.0075970961308018704,6.7846512358911575,-7.17054243454808,2.1341847760878903,13.955193670439238,8.942795357067466,89.76485818057455,15.0,92.50039564392766,0.0009359071695736555,10.975633757548822,-9.805773230731926,3.4389605114807065,20.78140698828075,23.510438620000127,299.55194984494807,36.0,255.54742651668388
10,50,0.008169056943755672,4.553491678367733,-4.368363978289651,1.5315658907651342,8.921855656657383,4.447114299867825,55.23500243371592,6.0,50.11602976568383,0.018945583718057945,7.4546290417954255,-6.490615876863991,2.334266870813481,13.945244918659416,10.642690377295434,147.14016392503143,16.0,106.35796691572513,-0.06059893631685467,9.995601545081293,-10.650087795538424,3.2365036643651104,20.645689340619718,19.84188769088125,153.95131210554203,42.0,233.5121623730266
11,55,0.011662044695965384,4.721581500393613,-4.7191245479052375,1.4345500006229819,9.44070604829885,3.9750391177714386,32.68080355403008,5.0,45.79684787258449,-0.02275641415999038,7.636781784789642,-5.726230805460044,2.131331096960861,13.363012590249685,8.798463895832423,166.48145227366766,15.0,92.3269554985862,-0.04130541531051353,10.950591737677872,-9.896112356884544,3.6579169984272983,20.846704094562416,26.167140574047387,195.75077180014338,47.0,300.0675301439264
12,60,0.022794828056572583,4.456481306279832,-4.740863814198121,1.5342292723080722,9.197345120477953,4.591042483389924,39.0106199254399,8.0,51.18113279953887,-0.031029245280320562,6.510166212911057,-7.141496154176334,2.063436521198588,13.65166236708739,8.358811197572042,189.77995910308636,12.0,92.70577086714603,-0.07453743353235251,9.971281815742223,-10.35813156622556,3.280743606418005,20.329413381967782,20.662798514367125,244.07905799139894,34.0,246.2031301990266
13,65,-0.004402749880857443,4.669959105939514,-4.387987673953942,1.5398675275415357,9.057946779893456,4.641953182418154,106.7419727255584,7.0,50.36336779211233,0.015480861213617048,5.88314042831273,-6.059841886913438,2.1951184213698203,11.942982315226168,9.35044842831174,209.98090246763033,14.0,93.07274056397085,0.0010346390796542569,11.286998399056149,-9.268203090961576,3.1206754372530847,20.555201490017723,18.91570035609829,221.47150557111496,32.0,214.463158979367
14,70,0.003291103650889557,4.8152676399571686,-4.774575227347347,1.6070148771202397,9.589842867304515,4.961928112270968,51.70698708796928,6.0,54.54551528849188,0.02620021901866852,7.400769984817011,-7.123081461697148,2.734726900367074,14.52385144651416,14.450863067197803,179.38410676236515,22.0,132.41936418251208,-0.08755810554287856,11.088588826656729,-10.387473982974724,3.8733924275671123,21.47606280963145,29.068298968401386,329.82228051303946,43.0,321.25404809037633
15,75,0.010703699233863075,4.313170191409107,-3.761317668412192,1.1947317188620163,8.074487859821298,2.7844303983551892,32.07486474237393,3.0,27.907465528666506,-0.01977836312358453,5.552877449241192,-6.408098959520457,1.9176907701375092,11.960976408761649,7.104960564663335,117.7588491419598,12.0,68.98066312401266,-0.010585289118234463,8.803055528748928,-7.095165411537925,2.4658622444186205,15.898220940286853,11.984210423790314,216.1841791203209,24.0,120.3985818524534
16,80,-0.016587227191500784,4.762124487215164,-4.774087007441486,2.1377992056170854,9.536211494656651,8.709102289105152,91.78962897652164,17.0,86.32885818513269,0.12067600454672447,7.597477057243633,-7.631334735217916,3.353954762282478,15.22881179246155,20.12662789493502,349.12822881116614,29.0,181.12727272544382,0.017822666725004908,11.18570083022558,-10.847730757258608,4.350271576357047,22.033431587484188,35.51596664789445,602.0307618463366,42.0,358.6296016678992
17,85,-0.0014127678195408038,4.676725146535718,-4.4117586256077495,1.6959818956932968,9.088483772143467,5.342030328781115,93.58768385381424,6.0,60.45674801310334,-0.00795444264658584,7.397294190634164,-7.342676860495225,2.9497794731460596,14.73997105112939,16.686602229504885,407.14378788303793,25.0,162.02736498877715,0.06801110117538106,11.183072244105398,-10.988292559399518,4.066631760808564,22.171364803504915,31.600993507898483,565.2821046662211,41.0,343.7920040987783
18,90,0.02665527693579697,4.651840569000613,-4.751721394913698,1.8017868171528935,9.40356196391431,6.183813296223156,59.0440504739325,12.0,65.34219782835763,0.00873888448559326,7.385055697849163,-7.277352540158745,2.7650423282687324,14.662408238007908,13.330024611738784,192.30842074260903,19.0,122.20777620860017,-0.10406975781288416,10.908680100134244,-10.691221922256496,3.9152978923541304,21.59990202239074,28.920713630312612,460.22249825626983,39.0,293.3003282314223
