,time,x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean
0,0,0.039894580322376236,5.78058280204861,-5.798835190040276,2.5074081221385334,11.579417992088885,24.1481417057169,221.0367264801615,38.0,243.36973838306244,-0.04612908486028491,7.750213236274903,-8.470055294813292,2.575610959108317,16.220268531088195,25.811257841980694,370.49256285787067,41.0,263.7715039224181,0.006100569878907802,9.277128381547032,-9.429993213070198,2.8556229711896477,18.707121594617227,31.216731090594067,425.4814445972233,41.0,301.878507647629
1,5,-0.006307223991873129,4.75293327044099,-4.724657574483713,1.5958314522144688,9.477590844924702,9.957183410926506,76.14687157034354,20.0,115.39689065062679,0.011961101455144781,8.343856446795066,-8.364406124769491,3.347037404819843,16.708262571564557,43.520267090654166,542.1054111408733,47.0,418.8544624405018,0.003040025557001881,9.277014279939324,-9.339856511064736,3.523900119357549,18.61687079100406,48.39702223894332,440.29864447582406,54.0,499.7978628562253
2,10,0.0007158569166052355,5.163273561211122,-5.070538955651539,1.6178459992626373,10.233812516862661,10.333597473774885,78.2925240306716,25.0,111.53515908808055,-0.02811995511427459,8.597691812888492,-8.507632575471918,3.1755293601436025,17.10532438836041,39.27710211124932,652.2367021496881,37.0,374.48063727147326,-0.024543760111776173,8.662963421842267,-9.456193175260909,3.2455094704188143,18.119156597103178,40.539759396939765,353.48681496693064,48.0,414.3810031255443
3,15,-4.354957725823894e-05,5.65813147125848,-5.790594777756387,1.8453566984618526,11.448726249014868,13.483826369681143,123.13632204897192,27.0,156.90146249275014,-0.020040234272078548,8.503355070993882,-8.530564485337694,3.1902140246150013,17.033919556331576,38.42716443363101,593.9830318920401,41.0,368.2471671184631,0.02783113298118197,8.924492978648237,-9.350466547564285,3.5579862389578927,18.27495952621252,48.01079090003208,617.575514819225,51.0,486.8967610119039
4,20,0.0034997986640179237,5.430908492686885,-5.10894689257613,1.9696818137505323,10.539855385263014,15.254410785961063,159.75576919271714,28.0,172.28010656258257,0.0052691271504292266,8.386584563901396,-8.480334067588103,2.6577120895662443,16.866918631489497,26.28188145072939,259.18855102877535,39.0,256.5022127350199,0.0007920342485088534,9.41140270149423,-9.100623463268258,3.2205257530214157,18.51202616476249,39.29345443074367,935.4434089000622,52.0,395.68541987654976
5,25,-0.016782639239613283,5.62441426624539,-5.799701934729403,2.085390859538433,11.424116200974794,17.07172647307912,152.26512870649154,31.0,185.9394902165306,-0.010403206745089754,8.064808189256574,-7.560801730277026,2.588403781049268,15.6256099195336,25.89775200804176,343.93515957241783,40.0,252.8728590893345,-0.007290385380190813,9.48453814806232,-9.168019060020676,3.428479519431825,18.652557208082996,46.18776130365043,772.2883702350211,48.0,446.39858947938086
6,30,0.026732474962145817,5.447221477061547,-5.684004915111544,1.9999414435513831,11.13122639217309,15.567746279566679,199.12804666395536,31.0,180.80482893036523,0.03375089948267058,8.460292979056454,-8.129370775147438,2.937037210156389,16.58966375420389,33.14698506732224,370.1413289740622,45.0,356.8011614849039,-0.022797341750558916,9.303435537531309,-7.875255833939046,3.1293487636296495,17.178691371470354,38.099506497441645,280.6212164624431,57.0,429.164236246785
7,35,-0.011330821532678255,5.5861326303755225,-5.742715913144208,1.660818767272515,11.32884854351973,10.85159745557995,82.3691843945363,19.0,129.02339954279233,0.04491287692598482,8.586540493466579,-8.108468383011163,2.8117182386964763,16.695008876477743,30.75385227830939,265.59529497755403,48.0,360.4990410169532,0.029564824563853412,9.032992386720943,-7.012112921844549,2.3974990036847443,16.045105308565493,22.08354547349094,178.4624599457578,36.0,238.97560786863593
